Dates,O,H,L,C
2008-02-26,"1,4829","1,4984","1,4779","1,4975"
2008-02-27,"1,4980","1,5145","1,4972","1,5123"
2008-02-28,"1,5124","1,5231","1,5074","1,5223"
2008-02-29,"1,5205","1,5240","1,5144","1,5181"
2008-03-03,"1,5194","1,5276","1,5156","1,5208"
2008-03-04,"1,5206","1,5250","1,5173","1,5210"
2008-03-05,"1,5215","1,5303","1,5146","1,5271"
2008-03-06,"1,5265","1,5396","1,5261","1,5389"
2008-03-07,"1,5388","1,5461","1,5314","1,5351"
2008-03-10,"1,5364","1,5404","1,5313","1,5341"
2008-03-11,"1,5346","1,5497","1,5283","1,5333"
2008-03-12,"1,5337","1,5571","1,5334","1,5571"
2008-03-13,"1,5566","1,5646","1,5522","1,5640"
2008-03-14,"1,5627","1,5690","1,5532","1,5675"
2008-03-17,"1,5725","1,5906","1,5685","1,5729"
2008-03-18,"1,5731","1,5834","1,5618","1,5626"
2008-03-19,"1,5623","1,5787","1,5583","1,5633"
2008-03-20,"1,5641","1,5652","1,5397","1,5434"
2008-03-21,"1,5433","1,5474","1,5406","1,5432"
2008-03-24,"1,5422","1,5458","1,5342","1,5432"
2008-03-25,"1,5433","1,5659","1,5408","1,5629"
2008-03-26,"1,5630","1,5860","1,5584","1,5845"
2008-03-27,"1,5842","1,5848","1,5726","1,5781"
2008-03-28,"1,5779","1,5841","1,5741","1,5802"
2008-03-31,"1,5812","1,5896","1,5760","1,5774"
2008-04-01,"1,5764","1,5787","1,5560","1,5610"
2008-04-02,"1,5617","1,5703","1,5534","1,5688"
2008-04-03,"1,5689","1,5694","1,5510","1,5680"
2008-04-04,"1,5683","1,5775","1,5637","1,5737"
2008-04-07,"1,5732","1,5737","1,5627","1,5703"
2008-04-08,"1,5710","1,5799","1,5674","1,5701"
2008-04-09,"1,5702","1,5866","1,5684","1,5832"
2008-04-10,"1,5830","1,5913","1,5724","1,5743"
2008-04-11,"1,5743","1,5857","1,5739","1,5807"
2008-04-14,"1,5698","1,5887","1,5671","1,5845"
2008-04-15,"1,5841","1,5876","1,5751","1,5792"
2008-04-16,"1,5791","1,5978","1,5758","1,5950"
2008-04-17,"1,5940","1,5984","1,5846","1,5896"
2008-04-18,"1,5895","1,5959","1,5712","1,5815"
2008-04-21,"1,5812","1,5948","1,5791","1,5906"
2008-04-22,"1,5912","1,6019","1,5834","1,5988"
2008-04-23,"1,6000","1,6000","1,5859","1,5888"
2008-04-24,"1,5883","1,5892","1,5638","1,5683"
2008-04-25,"1,5680","1,5709","1,5555","1,5625"
2008-04-28,"1,5617","1,5693","1,5593","1,5660"
2008-04-29,"1,5651","1,5661","1,5541","1,5569"
2008-04-30,"1,5568","1,5643","1,5517","1,5617"
2008-05-01,"1,5614","1,5644","1,5429","1,5470"
2008-05-02,"1,5467","1,5501","1,5360","1,5429"
2008-05-05,"1,5433","1,5519","1,5422","1,5492"
2008-05-06,"1,5498","1,5594","1,5451","1,5531"
2008-05-07,"1,5531","1,5539","1,5365","1,5391"
2008-05-08,"1,5394","1,5441","1,5285","1,5407"
2008-05-09,"1,5404","1,5491","1,5394","1,5483"
2008-05-12,"1,5462","1,5571","1,5365","1,5547"
2008-05-13,"1,5541","1,5567","1,5431","1,5460"
2008-05-14,"1,5471","1,5487","1,5395","1,5476"
2008-05-15,"1,5482","1,5548","1,5419","1,5444"
2008-05-16,"1,5442","1,5602","1,5437","1,5577"
2008-05-19,"1,5597","1,5633","1,5485","1,5518"
2008-05-20,"1,5518","1,5680","1,5503","1,5657"
2008-05-21,"1,5650","1,5795","1,5631","1,5789"
2008-05-22,"1,5795","1,5816","1,5692","1,5730"
2008-05-23,"1,5726","1,5796","1,5697","1,5766"
2008-05-26,"1,5772","1,5794","1,5742","1,5776"
2008-05-27,"1,5774","1,5819","1,5681","1,5685"
2008-05-28,"1,5678","1,5762","1,5608","1,5638"
2008-05-29,"1,5646","1,5665","1,5486","1,5516"
2008-05-30,"1,5517","1,5571","1,5462","1,5554"
2008-06-02,"1,5560","1,5591","1,5487","1,5544"
2008-06-03,"1,5538","1,5630","1,5410","1,5446"
2008-06-04,"1,5434","1,5484","1,5419","1,5433"
2008-06-05,"1,5423","1,5603","1,5366","1,5586"
2008-06-06,"1,5583","1,5777","1,5570","1,5777"
2008-06-09,"1,5793","1,5846","1,5617","1,5644"
2008-06-10,"1,5642","1,5654","1,5439","1,5463"
2008-06-11,"1,5452","1,5587","1,5452","1,5554"
2008-06-12,"1,5557","1,5566","1,5379","1,5447"
2008-06-13,"1,5450","1,5484","1,5302","1,5380"
2008-06-16,"1,5410","1,5518","1,5345","1,5467"
2008-06-17,"1,5466","1,5552","1,5460","1,5509"
2008-06-18,"1,5506","1,5539","1,5460","1,5534"
2008-06-19,"1,5531","1,5587","1,5466","1,5501"
2008-06-20,"1,5505","1,5652","1,5491","1,5605"
2008-06-23,"1,5630","1,5631","1,5468","1,5524"
2008-06-24,"1,5518","1,5623","1,5492","1,5566"
2008-06-25,"1,5567","1,5688","1,5537","1,5671"
2008-06-26,"1,5669","1,5768","1,5627","1,5755"
2008-06-27,"1,5753","1,5795","1,5716","1,5795"
2008-06-30,"1,5776","1,5837","1,5730","1,5756"
2008-07-01,"1,5756","1,5828","1,5723","1,5790"
2008-07-02,"1,5795","1,5890","1,5775","1,5880"
2008-07-03,"1,5887","1,5911","1,5682","1,5698"
2008-07-04,"1,5698","1,5729","1,5653","1,5706"
2008-07-07,"1,5696","1,5753","1,5609","1,5722"
2008-07-08,"1,5724","1,5740","1,5634","1,5672"
2008-07-09,"1,5669","1,5753","1,5649","1,5742"
2008-07-10,"1,5740","1,5801","1,5690","1,5785"
2008-07-11,"1,5787","1,5948","1,5765","1,5942"
2008-07-14,"1,5964","1,5972","1,5841","1,5905"
2008-07-15,"1,5900","1,6039","1,5865","1,5919"
2008-07-16,"1,5916","1,5949","1,5800","1,5824"
2008-07-17,"1,5824","1,5895","1,5784","1,5863"
2008-07-18,"1,5859","1,5889","1,5805","1,5848"
2008-07-21,"1,5837","1,5932","1,5827","1,5930"
2008-07-22,"1,5926","1,5945","1,5757","1,5784"
2008-07-23,"1,5791","1,5798","1,5669","1,5688"
2008-07-24,"1,5683","1,5714","1,5628","1,5676"
2008-07-25,"1,5676","1,5754","1,5662","1,5710"
2008-07-28,"1,5700","1,5769","1,5683","1,5746"
2008-07-29,"1,5739","1,5760","1,5553","1,5589"
2008-07-30,"1,5583","1,5617","1,5520","1,5577"
2008-07-31,"1,5577","1,5701","1,5568","1,5601"
2008-08-01,"1,5598","1,5600","1,5513","1,5566"
2008-08-04,"1,5570","1,5633","1,5554","1,5577"
2008-08-05,"1,5574","1,5577","1,5447","1,5458"
2008-08-06,"1,5454","1,5518","1,5399","1,5414"
2008-08-07,"1,5414","1,5505","1,5309","1,5322"
2008-08-08,"1,5320","1,5335","1,4996","1,5006"
2008-08-11,"1,4934","1,5084","1,4879","1,4905"
2008-08-12,"1,4898","1,4965","1,4813","1,4920"
2008-08-13,"1,4907","1,4979","1,4840","1,4924"
2008-08-14,"1,4923","1,4950","1,4778","1,4808"
2008-08-15,"1,4802","1,4808","1,4657","1,4689"
2008-08-18,"1,4682","1,4768","1,4672","1,4696"
2008-08-19,"1,4683","1,4796","1,4630","1,4789"
2008-08-20,"1,4786","1,4807","1,4673","1,4744"
2008-08-21,"1,4742","1,4908","1,4731","1,4907"
2008-08-22,"1,4895","1,4902","1,4758","1,4793"
2008-08-25,"1,4787","1,4808","1,4696","1,4751"
2008-08-26,"1,4751","1,4761","1,4568","1,4650"
2008-08-27,"1,4647","1,4777","1,4633","1,4722"
2008-08-28,"1,4712","1,4811","1,4670","1,4699"
2008-08-29,"1,4704","1,4770","1,4641","1,4674"
2008-09-01,"1,4702","1,4719","1,4582","1,4606"
2008-09-02,"1,4607","1,4607","1,4466","1,4517"
2008-09-03,"1,4516","1,4531","1,4385","1,4489"
2008-09-04,"1,4493","1,4546","1,4217","1,4251"
2008-09-05,"1,4234","1,4349","1,4197","1,4269"
2008-09-08,"1,4384","1,4429","1,4054","1,4127"
2008-09-09,"1,4126","1,4227","1,4047","1,4137"
2008-09-10,"1,4111","1,4179","1,3972","1,3986"
2008-09-11,"1,3975","1,4036","1,3880","1,4030"
2008-09-12,"1,4019","1,4232","1,3971","1,4228"
2008-09-15,"1,4315","1,4481","1,4086","1,4266"
2008-09-16,"1,4263","1,4285","1,4079","1,4121"
2008-09-17,"1,4112","1,4385","1,4092","1,4305"
2008-09-18,"1,4319","1,4543","1,4280","1,4339"
2008-09-19,"1,4327","1,4500","1,4151","1,4466"
2008-09-22,"1,4492","1,4867","1,4438","1,4786"
2008-09-23,"1,4795","1,4827","1,4623","1,4645"
2008-09-24,"1,4646","1,4748","1,4611","1,4613"
2008-09-25,"1,4610","1,4769","1,4560","1,4622"
2008-09-26,"1,4617","1,4678","1,4554","1,4615"
2008-09-29,"1,4522","1,4566","1,4300","1,4418"
2008-09-30,"1,4418","1,4427","1,4010","1,4104"
2008-10-01,"1,4124","1,4176","1,3976","1,4021"
2008-10-02,"1,4026","1,4027","1,3745","1,3818"
2008-10-03,"1,3818","1,3907","1,3704","1,3771"
2008-10-06,"1,3665","1,3676","1,3443","1,3490"
2008-10-07,"1,3486","1,3741","1,3481","1,3619"
2008-10-08,"1,3630","1,3758","1,3544","1,3630"
2008-10-09,"1,3631","1,3785","1,3580","1,3597"
2008-10-10,"1,3589","1,3652","1,3259","1,3414"
2008-10-13,"1,3559","1,3683","1,3458","1,3593"
2008-10-14,"1,3594","1,3771","1,3586","1,3624"
2008-10-15,"1,3620","1,3685","1,3453","1,3460"
2008-10-16,"1,3467","1,3539","1,3346","1,3487"
2008-10-17,"1,3483","1,3518","1,3387","1,3409"
2008-10-20,"1,3403","1,3532","1,3286","1,3344"
2008-10-21,"1,3332","1,3355","1,3051","1,3059"
2008-10-22,"1,3065","1,3078","1,2773","1,2854"
2008-10-23,"1,2828","1,3003","1,2727","1,2980"
2008-10-24,"1,2973","1,2980","1,2498","1,2624"
2008-10-27,"1,2549","1,2686","1,2333","1,2467"
2008-10-28,"1,2475","1,2744","1,2330","1,2715"
2008-10-29,"1,2768","1,2994","1,2627","1,2963"
2008-10-30,"1,2965","1,3295","1,2803","1,2908"
2008-10-31,"1,2855","1,2897","1,2668","1,2733"
2008-11-03,"1,2750","1,2900","1,2596","1,2643"
2008-11-04,"1,2631","1,3038","1,2527","1,3034"
2008-11-05,"1,2980","1,3118","1,2792","1,2952"
2008-11-06,"1,2961","1,2967","1,2702","1,2702"
2008-11-07,"1,2718","1,2853","1,2654","1,2739"
2008-11-10,"1,2821","1,2930","1,2719","1,2733"
2008-11-11,"1,2755","1,2801","1,2506","1,2519"
2008-11-12,"1,2530","1,2636","1,2470","1,2472"
2008-11-13,"1,2505","1,2855","1,2389","1,2830"
2008-11-14,"1,2787","1,2830","1,2617","1,2634"
2008-11-17,"1,2534","1,2742","1,2513","1,2647"
2008-11-18,"1,2649","1,2700","1,2567","1,2622"
2008-11-19,"1,2616","1,2814","1,2517","1,2523"
2008-11-20,"1,2502","1,2595","1,2456","1,2458"
2008-11-21,"1,2447","1,2643","1,2425","1,2581"
2008-11-24,"1,2592","1,2930","1,2568","1,2914"
2008-11-25,"1,2929","1,3081","1,2805","1,3058"
2008-11-26,"1,3064","1,3073","1,2821","1,2893"
2008-11-27,"1,2881","1,2970","1,2859","1,2893"
2008-11-28,"1,2904","1,2961","1,2647","1,2698"
2008-12-01,"1,2710","1,2712","1,2581","1,2626"
2008-12-02,"1,2611","1,2770","1,2564","1,2715"
2008-12-03,"1,2712","1,2742","1,2602","1,2715"
2008-12-04,"1,2702","1,2849","1,2549","1,2771"
2008-12-05,"1,2788","1,2801","1,2628","1,2736"
2008-12-08,"1,2726","1,2964","1,2717","1,2937"
2008-12-09,"1,2953","1,3001","1,2796","1,2913"
2008-12-10,"1,2927","1,3072","1,2902","1,3018"
2008-12-11,"1,3013","1,3407","1,3001","1,3359"
2008-12-12,"1,3356","1,3417","1,3251","1,3373"
2008-12-15,"1,3368","1,3713","1,3365","1,3712"
2008-12-16,"1,3703","1,4146","1,3631","1,4100"
2008-12-17,"1,4052","1,4438","1,3995","1,4403"
2008-12-18,"1,4406","1,4721","1,4187","1,4211"
2008-12-19,"1,4244","1,4312","1,3825","1,3919"
2008-12-22,"1,3934","1,4126","1,3902","1,3945"
2008-12-23,"1,3948","1,4021","1,3918","1,3963"
2008-12-24,"1,3941","1,4022","1,3914","1,4004"
2008-12-25,"1,4013","1,4051","1,3977","1,4015"
2008-12-26,"1,4009","1,4121","1,3990","1,4063"
2008-12-29,"1,4060","1,4362","1,3968","1,3977"
2008-12-30,"1,3946","1,4223","1,3918","1,4072"
2008-12-31,"1,4067","1,4148","1,3850","1,3980"
2009-01-01,"1,3967","1,4002","1,3948","1,3990"
2009-01-02,"1,3993","1,4058","1,3840","1,3879"
2009-01-05,"1,3902","1,3965","1,3546","1,3605"
2009-01-06,"1,3611","1,3659","1,3312","1,3510"
2009-01-07,"1,3529","1,3748","1,3430","1,3634"
2009-01-08,"1,3651","1,3800","1,3533","1,3727"
2009-01-09,"1,3710","1,3752","1,3415","1,3440"
2009-01-12,"1,3474","1,3476","1,3287","1,3371"
2009-01-13,"1,3361","1,3375","1,3142","1,3196"
2009-01-14,"1,3190","1,3336","1,3092","1,3162"
2009-01-15,"1,3184","1,3242","1,3026","1,3154"
2009-01-16,"1,3127","1,3344","1,3110","1,3304"
2009-01-19,"1,3327","1,3386","1,3100","1,3112"
2009-01-20,"1,3090","1,3105","1,2856","1,2889"
2009-01-21,"1,2907","1,3070","1,2826","1,3041"
2009-01-22,"1,3051","1,3085","1,2908","1,2986"
2009-01-23,"1,3004","1,3036","1,2766","1,2992"
2009-01-26,"1,2969","1,3207","1,2860","1,3166"
2009-01-27,"1,3181","1,3330","1,3118","1,3178"
2009-01-28,"1,3164","1,3327","1,3103","1,3138"
2009-01-29,"1,3154","1,3180","1,2933","1,2959"
2009-01-30,"1,2954","1,2961","1,2778","1,2782"
2009-02-02,"1,2769","1,2900","1,2706","1,2851"
2009-02-03,"1,2849","1,3058","1,2801","1,3037"
2009-02-04,"1,3028","1,3070","1,2812","1,2830"
2009-02-05,"1,2854","1,2906","1,2759","1,2786"
2009-02-06,"1,2797","1,2994","1,2749","1,2933"
2009-02-09,"1,2961","1,3094","1,2872","1,3010"
2009-02-10,"1,3012","1,3075","1,2809","1,2898"
2009-02-11,"1,2916","1,3000","1,2832","1,2896"
2009-02-12,"1,2902","1,2944","1,2723","1,2864"
2009-02-13,"1,2870","1,2944","1,2818","1,2862"
2009-02-16,"1,2788","1,2826","1,2727","1,2778"
2009-02-17,"1,2792","1,2811","1,2563","1,2591"
2009-02-18,"1,2583","1,2641","1,2513","1,2539"
2009-02-19,"1,2534","1,2760","1,2525","1,2663"
2009-02-20,"1,2671","1,2885","1,2558","1,2843"
2009-02-23,"1,2797","1,2992","1,2691","1,2708"
2009-02-24,"1,2694","1,2877","1,2661","1,2840"
2009-02-25,"1,2843","1,2904","1,2692","1,2710"
2009-02-26,"1,2718","1,2810","1,2682","1,2731"
2009-02-27,"1,2744","1,2752","1,2603","1,2669"
2009-03-02,"1,2626","1,2636","1,2545","1,2584"
2009-03-03,"1,2578","1,2679","1,2521","1,2567"
2009-03-04,"1,2557","1,2658","1,2456","1,2637"
2009-03-05,"1,2660","1,2664","1,2479","1,2561"
2009-03-06,"1,2546","1,2755","1,2530","1,2641"
2009-03-09,"1,2668","1,2729","1,2553","1,2611"
2009-03-10,"1,2603","1,2822","1,2577","1,2671"
2009-03-11,"1,2683","1,2866","1,2617","1,2829"
2009-03-12,"1,2842","1,2948","1,2732","1,2912"
2009-03-13,"1,2916","1,2959","1,2864","1,2925"
2009-03-16,"1,2884","1,3071","1,2835","1,2966"
2009-03-17,"1,2982","1,3033","1,2929","1,3013"
2009-03-18,"1,3015","1,3520","1,2987","1,3508"
2009-03-19,"1,3519","1,3739","1,3418","1,3666"
2009-03-20,"1,3662","1,3730","1,3517","1,3583"
2009-03-23,"1,3632","1,3737","1,3487","1,3630"
2009-03-24,"1,3622","1,3678","1,3432","1,3460"
2009-03-25,"1,3474","1,3653","1,3419","1,3586"
2009-03-26,"1,3588","1,3640","1,3494","1,3534"
2009-03-27,"1,3527","1,3594","1,3258","1,3301"
2009-03-30,"1,3225","1,3286","1,3112","1,3207"
2009-03-31,"1,3202","1,3343","1,3173","1,3251"
2009-04-01,"1,3247","1,3287","1,3167","1,3232"
2009-04-02,"1,3227","1,3518","1,3222","1,3463"
2009-04-03,"1,3460","1,3498","1,3365","1,3483"
2009-04-06,"1,3510","1,3582","1,3357","1,3407"
2009-04-07,"1,3395","1,3408","1,3226","1,3268"
2009-04-08,"1,3267","1,3311","1,3146","1,3260"
2009-04-09,"1,3265","1,3336","1,3125","1,3165"
2009-04-10,"1,3167","1,3190","1,3091","1,3188"
2009-04-13,"1,3189","1,3393","1,3127","1,3365"
2009-04-14,"1,3369","1,3383","1,3228","1,3255"
2009-04-15,"1,3259","1,3297","1,3146","1,3220"
2009-04-16,"1,3211","1,3268","1,3126","1,3179"
2009-04-17,"1,3185","1,3200","1,3019","1,3041"
2009-04-20,"1,3046","1,3049","1,2884","1,2916"
2009-04-21,"1,2922","1,2995","1,2898","1,2935"
2009-04-22,"1,2948","1,3038","1,2885","1,2999"
2009-04-23,"1,2994","1,3161","1,2979","1,3147"
2009-04-24,"1,3139","1,3304","1,3114","1,3255"
2009-04-27,"1,3241","1,3246","1,2998","1,3019"
2009-04-28,"1,3020","1,3168","1,2964","1,3146"
2009-04-29,"1,3140","1,3342","1,3121","1,3266"
2009-04-30,"1,3251","1,3384","1,3190","1,3226"
2009-05-01,"1,3228","1,3330","1,3219","1,3266"
2009-05-04,"1,3288","1,3428","1,3212","1,3405"
2009-05-05,"1,3409","1,3438","1,3281","1,3323"
2009-05-06,"1,3306","1,3375","1,3247","1,3319"
2009-05-07,"1,3308","1,3471","1,3250","1,3399"
2009-05-08,"1,3390","1,3651","1,3340","1,3647"
2009-05-11,"1,3647","1,3668","1,3554","1,3575"
2009-05-12,"1,3571","1,3707","1,3563","1,3644"
2009-05-13,"1,3643","1,3722","1,3565","1,3599"
2009-05-14,"1,3596","1,3664","1,3523","1,3634"
2009-05-15,"1,3637","1,3653","1,3464","1,3496"
2009-05-18,"1,3486","1,3565","1,3422","1,3557"
2009-05-19,"1,3555","1,3670","1,3531","1,3625"
2009-05-20,"1,3626","1,3830","1,3582","1,3771"
2009-05-21,"1,3761","1,3925","1,3727","1,3893"
2009-05-22,"1,3895","1,4053","1,3894","1,3994"
2009-05-25,"1,4036","1,4038","1,3960","1,4009"
2009-05-26,"1,4011","1,4024","1,3858","1,3991"
2009-05-27,"1,3988","1,4002","1,3823","1,3836"
2009-05-28,"1,3832","1,3982","1,3790","1,3937"
2009-05-29,"1,3937","1,4171","1,3926","1,4154"
2009-06-01,"1,4123","1,4247","1,4099","1,4165"
2009-06-02,"1,4149","1,4334","1,4102","1,4305"
2009-06-03,"1,4310","1,4339","1,4108","1,4152"
2009-06-04,"1,4146","1,4242","1,4068","1,4188"
2009-06-05,"1,4178","1,4269","1,3933","1,3975"
2009-06-08,"1,3945","1,4004","1,3806","1,3898"
2009-06-09,"1,3895","1,4101","1,3851","1,4066"
2009-06-10,"1,4068","1,4146","1,3914","1,3967"
2009-06-11,"1,3963","1,4179","1,3941","1,4106"
2009-06-12,"1,4101","1,4131","1,3937","1,4024"
2009-06-15,"1,3989","1,4004","1,3756","1,3792"
2009-06-16,"1,3788","1,3933","1,3748","1,3836"
2009-06-17,"1,3836","1,3986","1,3807","1,3942"
2009-06-18,"1,3944","1,4004","1,3872","1,3906"
2009-06-19,"1,3905","1,4014","1,3884","1,3943"
2009-06-22,"1,3952","1,3954","1,3826","1,3862"
2009-06-23,"1,3860","1,4108","1,3828","1,4079"
2009-06-24,"1,4077","1,4140","1,3888","1,3926"
2009-06-25,"1,3936","1,4016","1,3890","1,3988"
2009-06-26,"1,3994","1,4120","1,3983","1,4053"
2009-06-29,"1,4063","1,4104","1,3982","1,4076"
2009-06-30,"1,4080","1,4154","1,4002","1,4036"
2009-07-01,"1,4034","1,4203","1,4001","1,4152"
2009-07-02,"1,4150","1,4156","1,3929","1,3941"
2009-07-03,"1,3938","1,4030","1,3937","1,3964"
2009-07-06,"1,3956","1,4000","1,3876","1,3975"
2009-07-07,"1,3978","1,4053","1,3902","1,3922"
2009-07-08,"1,3918","1,3939","1,3831","1,3877"
2009-07-09,"1,3874","1,4074","1,3857","1,4026"
2009-07-10,"1,4024","1,4033","1,3879","1,3933"
2009-07-13,"1,3946","1,4002","1,3897","1,3979"
2009-07-14,"1,3981","1,4017","1,3911","1,3970"
2009-07-15,"1,3969","1,4135","1,3962","1,4106"
2009-07-16,"1,4102","1,4167","1,4055","1,4148"
2009-07-17,"1,4145","1,4150","1,4063","1,4099"
2009-07-20,"1,4116","1,4251","1,4109","1,4228"
2009-07-21,"1,4223","1,4278","1,4162","1,4213"
2009-07-22,"1,4220","1,4260","1,4155","1,4211"
2009-07-23,"1,4206","1,4292","1,4119","1,4160"
2009-07-24,"1,4160","1,4256","1,4136","1,4205"
2009-07-27,"1,4226","1,4301","1,4171","1,4245"
2009-07-28,"1,4242","1,4303","1,4127","1,4177"
2009-07-29,"1,4174","1,4197","1,4007","1,4037"
2009-07-30,"1,4036","1,4097","1,4007","1,4074"
2009-07-31,"1,4067","1,4282","1,4065","1,4250"
2009-08-03,"1,4268","1,4447","1,4206","1,4418"
2009-08-04,"1,4417","1,4434","1,4367","1,4400"
2009-08-05,"1,4394","1,4449","1,4357","1,4412"
2009-08-06,"1,4416","1,4433","1,4329","1,4348"
2009-08-07,"1,4356","1,4417","1,4155","1,4188"
2009-08-10,"1,4175","1,4219","1,4103","1,4146"
2009-08-11,"1,4146","1,4186","1,4110","1,4146"
2009-08-12,"1,4148","1,4248","1,4084","1,4203"
2009-08-13,"1,4204","1,4330","1,4202","1,4289"
2009-08-14,"1,4283","1,4309","1,4161","1,4205"
2009-08-17,"1,4186","1,4194","1,4045","1,4078"
2009-08-18,"1,4074","1,4156","1,4067","1,4133"
2009-08-19,"1,4133","1,4269","1,4083","1,4236"
2009-08-20,"1,4234","1,4278","1,4201","1,4250"
2009-08-21,"1,4249","1,4378","1,4210","1,4323"
2009-08-24,"1,4344","1,4362","1,4281","1,4303"
2009-08-25,"1,4299","1,4364","1,4254","1,4298"
2009-08-26,"1,4303","1,4351","1,4206","1,4250"
2009-08-27,"1,4244","1,4405","1,4218","1,4351"
2009-08-28,"1,4346","1,4391","1,4282","1,4299"
2009-08-31,"1,4306","1,4369","1,4255","1,4331"
2009-09-01,"1,4332","1,4379","1,4177","1,4221"
2009-09-02,"1,4217","1,4296","1,4191","1,4264"
2009-09-03,"1,4265","1,4350","1,4236","1,4254"
2009-09-04,"1,4260","1,4330","1,4191","1,4293"
2009-09-07,"1,4310","1,4362","1,4301","1,4335"
2009-09-08,"1,4335","1,4538","1,4329","1,4485"
2009-09-09,"1,4488","1,4602","1,4465","1,4561"
2009-09-10,"1,4571","1,4615","1,4501","1,4579"
2009-09-11,"1,4577","1,4637","1,4555","1,4570"
2009-09-14,"1,4596","1,4653","1,4515","1,4624"
2009-09-15,"1,4629","1,4688","1,4561","1,4661"
2009-09-16,"1,4658","1,4738","1,4642","1,4712"
2009-09-17,"1,4707","1,4768","1,4686","1,4739"
2009-09-18,"1,4744","1,4747","1,4648","1,4710"
2009-09-21,"1,4689","1,4714","1,4607","1,4675"
2009-09-22,"1,4679","1,4825","1,4677","1,4790"
2009-09-23,"1,4790","1,4844","1,4725","1,4731"
2009-09-24,"1,4710","1,4806","1,4628","1,4661"
2009-09-25,"1,4664","1,4726","1,4614","1,4688"
2009-09-28,"1,4699","1,4722","1,4560","1,4621"
2009-09-29,"1,4619","1,4646","1,4526","1,4585"
2009-09-30,"1,4583","1,4674","1,4575","1,4636"
2009-10-01,"1,4638","1,4670","1,4518","1,4533"
2009-10-02,"1,4534","1,4650","1,4482","1,4572"
2009-10-05,"1,4592","1,4671","1,4581","1,4650"
2009-10-06,"1,4648","1,4766","1,4646","1,4718"
2009-10-07,"1,4718","1,4739","1,4652","1,4688"
2009-10-08,"1,4688","1,4817","1,4680","1,4790"
2009-10-09,"1,4794","1,4798","1,4675","1,4730"
2009-10-12,"1,4724","1,4815","1,4678","1,4773"
2009-10-13,"1,4781","1,4878","1,4760","1,4859"
2009-10-14,"1,4854","1,4948","1,4839","1,4926"
2009-10-15,"1,4935","1,4968","1,4842","1,4945"
2009-10-16,"1,4945","1,4970","1,4848","1,4906"
2009-10-19,"1,4893","1,4979","1,4829","1,4964"
2009-10-20,"1,4973","1,4994","1,4882","1,4939"
2009-10-21,"1,4934","1,5048","1,4888","1,5010"
2009-10-22,"1,5000","1,5040","1,4943","1,5023"
2009-10-23,"1,5024","1,5063","1,4987","1,5003"
2009-10-26,"1,5000","1,5063","1,4844","1,4870"
2009-10-27,"1,4862","1,4928","1,4770","1,4809"
2009-10-28,"1,4813","1,4843","1,4692","1,4712"
2009-10-29,"1,4714","1,4859","1,4682","1,4834"
2009-10-30,"1,4835","1,4861","1,4704","1,4718"
2009-11-02,"1,4713","1,4846","1,4684","1,4769"
2009-11-03,"1,4772","1,4811","1,4624","1,4715"
2009-11-04,"1,4731","1,4909","1,4701","1,4878"
2009-11-05,"1,4871","1,4918","1,4808","1,4881"
2009-11-06,"1,4869","1,4915","1,4813","1,4849"
2009-11-09,"1,4884","1,5021","1,4851","1,4994"
2009-11-10,"1,4996","1,5021","1,4937","1,4983"
2009-11-11,"1,4985","1,5050","1,4953","1,4983"
2009-11-12,"1,4980","1,5017","1,4820","1,4843"
2009-11-13,"1,4848","1,4939","1,4826","1,4917"
2009-11-16,"1,4924","1,5017","1,4880","1,4973"
2009-11-17,"1,4971","1,5000","1,4806","1,4867"
2009-11-18,"1,4875","1,4991","1,4857","1,4965"
2009-11-19,"1,4962","1,4966","1,4840","1,4918"
2009-11-20,"1,4924","1,4937","1,4798","1,4861"
2009-11-23,"1,4859","1,5002","1,4832","1,4966"
2009-11-24,"1,4965","1,4990","1,4888","1,4961"
2009-11-25,"1,4960","1,5145","1,4954","1,5140"
2009-11-26,"1,5132","1,5143","1,4958","1,5013"
2009-11-27,"1,5021","1,5024","1,4828","1,4967"
2009-11-30,"1,5011","1,5085","1,4964","1,5009"
2009-12-01,"1,5006","1,5118","1,4970","1,5088"
2009-12-02,"1,5084","1,5111","1,5031","1,5046"
2009-12-03,"1,5044","1,5143","1,5042","1,5070"
2009-12-04,"1,5050","1,5091","1,4819","1,4851"
2009-12-07,"1,4853","1,4905","1,4756","1,4819"
2009-12-08,"1,4821","1,4867","1,4680","1,4699"
2009-12-09,"1,4706","1,4785","1,4670","1,4727"
2009-12-10,"1,4726","1,4762","1,4685","1,4735"
2009-12-11,"1,4733","1,4777","1,4585","1,4623"
2009-12-14,"1,4625","1,4686","1,4597","1,4656"
2009-12-15,"1,4658","1,4666","1,4504","1,4536"
2009-12-16,"1,4535","1,4590","1,4503","1,4537"
2009-12-17,"1,4535","1,4537","1,4303","1,4345"
2009-12-18,"1,4339","1,4413","1,4259","1,4343"
2009-12-21,"1,4305","1,4374","1,4267","1,4284"
2009-12-22,"1,4283","1,4333","1,4217","1,4250"
2009-12-23,"1,4251","1,4367","1,4234","1,4327"
2009-12-24,"1,4335","1,4419","1,4322","1,4375"
2009-12-25,"1,4376","1,4436","1,4363","1,4397"
2009-12-28,"1,4376","1,4415","1,4354","1,4383"
2009-12-29,"1,4377","1,4460","1,4332","1,4354"
2009-12-30,"1,4352","1,4364","1,4274","1,4335"
